companyName,cik,symbol,targetedCompanyName,targetedCik,targetedSymbol,transactionDate,acceptanceTime,url
SES AI CORP,0001819142,SES-WT,IVANHOE CAPITAL ACQUISITION CORP.,0000000000,IVAN-UN,2021-08-10,2021-08-10 17:19:30,https://www.sec.gov/Archives/edgar/data/1819142/000110465921102959/tm2123877-1_s4.htm
SES AI CORP,0001819142,SES,IVANHOE CAPITAL ACQUISITION CORP.,0001819142,IVAN,2021-08-10,2021-08-10 17:19:30,https://www.sec.gov/Archives/edgar/data/1819142/000110465921102959/tm2123877-1_s4.htm
"SOLID POWER, INC.",0001844862,SLDP,DECARBONIZATION PLUS ACQUISITION CORPORATION III,0001844862,DCRC,2021-08-10,2021-08-10 16:54:41,https://www.sec.gov/Archives/edgar/data/1844862/000119312521241950/d211833ds4.htm
"SOLID POWER, INC.",0001844862,SLDPW,DECARBONIZATION PLUS ACQUISITION CORPORATION III,0001844862,DCRC,2021-08-10,2021-08-10 16:54:41,https://www.sec.gov/Archives/edgar/data/1844862/000119312521241950/d211833ds4.htm
TRANSDIGM GROUP INC,0001260221,TDG,AFFILIATESTHE COMPANY,,,2021-08-10,2021-08-10 16:39:05,https://www.sec.gov/Archives/edgar/data/7340/000126022121000112/forms-4janaprseniorsubnote.htm
NICOLET BANKSHARES INC,0001174850,NIC,"NICOLET BANKSHARES, INC.",0001174850,NCBS,2021-08-09,2021-08-09 17:25:44,https://www.sec.gov/Archives/edgar/data/1174850/000110465921102273/tm2124163-1_s4.htm
VALLEY NATIONAL BANCORP,0000714310,VLYPO,WESTCHESTER,,,2021-08-09,2021-08-09 16:06:47,https://www.sec.gov/Archives/edgar/data/714310/000119312521240431/d566582ds4.htm
VALLEY NATIONAL BANCORP,0000714310,VLY,WESTCHESTER,,,2021-08-09,2021-08-09 16:06:47,https://www.sec.gov/Archives/edgar/data/714310/000119312521240431/d566582ds4.htm
VALLEY NATIONAL BANCORP,0000714310,VLYPP,WESTCHESTER,,,2021-08-09,2021-08-09 16:06:47,https://www.sec.gov/Archives/edgar/data/714310/000119312521240431/d566582ds4.htm
LONGVIEW ACQUISITION CORP. II,0001832300,LGV-WT,HEARTFLOW,,HFLO,2021-08-09,2021-08-09 14:21:19,https://www.sec.gov/Archives/edgar/data/1832300/000110465921102032/tm2123463-1_s4.htm
LONGVIEW ACQUISITION CORP. II,0001832300,LGV-UN,HEARTFLOW,,HFLO,2021-08-09,2021-08-09 14:21:19,https://www.sec.gov/Archives/edgar/data/1832300/000110465921102032/tm2123463-1_s4.htm
LONGVIEW ACQUISITION CORP. II,0001832300,LGV,HEARTFLOW,,HFLO,2021-08-09,2021-08-09 14:21:19,https://www.sec.gov/Archives/edgar/data/1832300/000110465921102032/tm2123463-1_s4.htm
"HELIOGEN, INC.",0001840292,HLGN,ATHENA TECHNOLOGY ACQUISITION CORP.,0000000000,ATHN,2021-08-06,2021-08-06 21:23:40,https://www.sec.gov/Archives/edgar/data/1840292/000121390021040855/fs42021_athenatechnacq.htm
"HELIOGEN, INC.",0001840292,HLGN-WT,ATHENA TECHNOLOGY ACQUISITION CORP.,0000000000,ATHN,2021-08-06,2021-08-06 21:23:40,https://www.sec.gov/Archives/edgar/data/1840292/000121390021040855/fs42021_athenatechnacq.htm
CIRCLE INTERNET FINANCE PUBLIC LTD CO,0001876042,CRCL,"WORTHINGTON STEEL, INC.",0001968487,WS,2021-08-06,2021-08-06 16:41:05,https://www.sec.gov/Archives/edgar/data/1876042/000110465921101498/tm2123712-1_s4.htm
